hour,day_of_week,is_weekend,is_rural,is_peak,distance_km,rain_factor,crowd_level,delay_minutes,eta_minutes
8,6,1,1,1,5.5,0.1,HIGH,14.4,10.7
23,6,1,0,0,2.49,0.49,LOW,8.4,3.6
0,3,0,1,0,3.56,0.37,LOW,5.0,5.9
11,4,0,0,0,4.94,0.18,LOW,4.2,8.3
7,5,1,0,1,0.77,0.29,MEDIUM,10.6,3.3
23,6,1,1,0,4.12,0.11,LOW,5.1,5.0
10,3,0,1,1,6.95,0.29,MEDIUM,12.3,20.0
18,6,1,0,1,4.19,0.1,LOW,11.7,9.2
16,0,0,0,1,4.64,0.3,HIGH,11.4,10.1
7,0,0,1,1,2.01,0.72,HIGH,21.5,6.2
2,6,1,0,0,6.46,0.16,LOW,4.2,8.4
2,0,0,1,0,3.19,0.09,LOW,4.6,6.1
0,6,1,1,0,7.67,0.36,LOW,4.1,15.6
4,3,0,1,0,7.95,0.48,MEDIUM,6.5,14.1
9,1,0,1,1,7.37,0.5,HIGH,18.4,20.9
6,4,0,1,0,1.14,0.05,LOW,3.6,0.5
8,3,0,1,1,3.0,0.49,HIGH,18.4,8.0
6,1,0,1,0,7.59,0.08,LOW,3.2,12.3
8,1,0,1,1,6.53,0.56,HIGH,18.9,23.1
7,5,1,0,1,7.33,0.38,HIGH,12.3,17.1
11,3,0,0,0,4.79,0.1,LOW,2.1,7.2
1,3,0,1,0,4.1,0.18,LOW,3.1,7.1
0,6,1,1,0,1.3,0.28,LOW,6.4,1.6
15,1,0,1,1,6.8,0.3,HIGH,15.9,19.2
22,1,0,1,0,6.09,0.14,MEDIUM,6.1,8.5
22,1,0,1,0,0.94,0.16,LOW,4.8,2.0
23,6,1,1,0,2.07,0.38,LOW,6.1,3.4
4,5,1,0,0,4.68,0.17,LOW,2.2,6.3
2,3,0,0,0,5.63,0.06,LOW,5.0,8.7
11,1,0,1,0,1.53,0.3,LOW,4.1,3.1
7,0,0,0,1,2.34,0.35,HIGH,7.4,6.1
21,3,0,1,0,1.95,0.12,MEDIUM,5.3,5.2
2,6,1,1,0,2.15,0.16,LOW,5.6,4.0
0,5,1,0,0,7.41,0.24,LOW,3.5,11.2
2,0,0,1,0,5.87,0.53,LOW,7.4,7.6
4,6,1,1,0,6.03,0.48,LOW,2.9,9.6
14,2,0,0,1,6.45,0.07,MEDIUM,11.2,11.6
13,3,0,0,0,3.17,0.56,LOW,10.3,5.3
2,2,0,0,0,6.25,0.45,LOW,4.0,9.4
0,6,1,0,0,7.84,0.2,LOW,0.9,10.4
4,6,1,0,0,5.74,0.17,LOW,3.9,8.5
22,6,1,1,0,3.63,0.28,LOW,7.5,5.6
13,1,0,1,0,5.87,0.38,LOW,1.9,9.2
6,5,1,1,0,7.26,0.08,LOW,3.2,13.5
8,1,0,1,1,1.47,0.27,HIGH,18.4,5.2
14,5,1,1,1,2.49,0.82,HIGH,21.6,8.7
14,4,0,1,1,7.39,0.22,HIGH,16.6,24.6
9,1,0,1,1,7.6,0.31,HIGH,16.1,33.0
12,2,0,1,0,4.13,0.11,LOW,4.4,5.4
18,5,1,0,1,3.31,0.25,MEDIUM,14.9,6.9
6,1,0,1,0,2.62,0.31,LOW,3.7,4.8
16,3,0,1,1,4.24,0.54,MEDIUM,20.0,10.9
19,6,1,0,1,7.51,0.19,MEDIUM,13.7,17.0
3,5,1,0,0,1.62,0.13,LOW,3.5,2.2
4,5,1,1,0,3.65,0.44,LOW,3.2,6.4
22,1,0,1,0,7.34,0.46,LOW,4.2,14.6
6,4,0,1,0,3.12,0.36,LOW,8.4,7.8
12,1,0,1,0,6.26,0.28,LOW,7.7,9.7
14,2,0,1,1,3.42,0.38,HIGH,18.0,9.4
10,2,0,1,1,6.54,0.44,HIGH,22.5,21.5
3,5,1,1,0,7.86,0.32,LOW,5.1,13.2
12,5,1,1,0,3.41,0.37,LOW,2.8,5.9
6,1,0,1,0,6.84,0.4,LOW,2.6,11.3
18,2,0,0,1,7.91,0.49,HIGH,11.5,20.0
21,2,0,0,0,7.88,0.52,LOW,7.0,12.1
1,4,0,1,0,3.75,0.14,LOW,2.8,5.3
9,3,0,1,1,4.14,0.11,HIGH,14.5,10.1
12,4,0,1,0,2.78,0.26,LOW,4.5,5.9
20,0,0,1,0,2.86,0.58,LOW,10.1,5.1
5,6,1,1,0,4.19,0.21,LOW,8.0,6.4
11,4,0,1,0,2.0,0.41,LOW,6.2,4.4
11,1,0,1,0,5.83,0.1,LOW,5.5,8.9
19,3,0,1,1,4.52,0.43,HIGH,19.3,11.9
10,1,0,1,1,7.24,0.46,HIGH,18.7,24.0
22,6,1,1,0,6.58,0.39,LOW,3.2,7.9
6,0,0,1,0,2.92,0.56,LOW,7.6,7.2
0,3,0,1,0,4.29,0.26,MEDIUM,3.5,8.0
0,5,1,1,0,6.13,0.25,LOW,3.2,9.7
19,2,0,1,1,1.95,0.09,HIGH,16.6,5.0
12,4,0,1,0,0.74,0.12,LOW,7.2,1.0
8,1,0,1,1,6.89,0.14,HIGH,16.6,15.0
2,0,0,1,0,1.53,0.41,LOW,5.0,4.0
6,2,0,1,0,7.17,0.15,LOW,3.4,11.0
5,4,0,1,0,7.35,0.41,LOW,6.9,16.3
7,2,0,1,1,3.96,0.35,HIGH,16.7,12.5
8,4,0,1,1,6.55,0.42,HIGH,17.1,18.8
4,5,1,0,0,3.22,0.11,LOW,2.5,4.2
0,3,0,0,0,6.94,0.09,LOW,2.4,10.0
18,2,0,0,1,6.69,0.16,MEDIUM,14.1,13.4
9,2,0,1,1,1.09,0.57,HIGH,18.7,4.2
11,2,0,0,0,4.87,0.29,LOW,3.7,6.0
23,3,0,1,0,5.3,0.38,MEDIUM,5.5,9.0
14,0,0,1,1,0.51,0.22,HIGH,17.4,1.3
21,4,0,1,0,7.85,0.71,LOW,5.4,15.4
23,5,1,0,0,3.55,0.25,LOW,5.3,4.9
8,2,0,1,1,4.38,0.3,HIGH,18.0,11.7
19,6,1,0,1,1.96,0.15,MEDIUM,15.4,2.7
16,3,0,1,1,5.08,0.15,HIGH,16.8,12.8
16,0,0,1,1,6.58,0.39,HIGH,14.6,26.9
19,4,0,1,1,4.89,0.25,MEDIUM,17.8,13.1
11,3,0,1,0,6.41,0.1,LOW,4.2,8.5
6,5,1,1,0,5.98,0.42,LOW,5.8,8.9
1,5,1,1,0,2.28,0.18,LOW,6.5,3.9
2,4,0,1,0,3.77,0.39,LOW,6.3,5.7
16,2,0,1,1,1.61,0.05,HIGH,16.8,3.2
4,5,1,1,0,0.81,0.77,LOW,6.3,1.2
16,0,0,0,1,0.97,0.44,MEDIUM,14.6,2.4
23,3,0,1,0,7.57,0.11,LOW,2.8,12.5
16,0,0,1,1,7.88,0.44,HIGH,16.8,20.7
16,2,0,1,1,1.21,0.23,HIGH,15.6,5.1
1,0,0,1,0,3.01,0.57,LOW,3.7,4.4
1,0,0,0,0,1.36,0.28,LOW,4.1,3.1
21,1,0,0,0,6.76,0.11,LOW,3.4,11.2
22,0,0,1,0,4.22,0.15,LOW,2.6,7.1
4,4,0,1,0,5.16,0.18,LOW,7.2,11.4
0,3,0,0,0,4.55,0.34,LOW,5.1,7.8
0,1,0,0,0,5.83,0.58,LOW,5.7,9.3
18,3,0,0,1,2.89,0.27,MEDIUM,11.3,5.1
1,3,0,0,0,1.53,0.22,LOW,7.0,2.8
20,2,0,1,0,0.63,0.61,MEDIUM,5.4,1.2
11,2,0,1,0,3.84,0.26,LOW,4.7,8.1
5,1,0,1,0,7.31,0.27,LOW,6.1,13.5
22,5,1,1,0,2.79,0.05,LOW,0.9,4.1
3,6,1,1,0,1.97,0.36,LOW,4.6,3.9
22,2,0,1,0,7.45,0.47,LOW,6.3,13.7
10,6,1,1,1,1.29,0.26,HIGH,16.3,3.9
23,2,0,1,0,0.89,0.32,LOW,5.8,1.0
16,2,0,1,1,7.1,0.44,HIGH,17.8,20.6
5,3,0,1,0,5.76,0.2,LOW,5.8,7.6
23,1,0,1,0,3.67,0.36,LOW,3.0,6.5
4,3,0,0,0,6.14,0.21,LOW,5.2,10.0
19,4,0,0,1,6.06,0.22,LOW,12.3,12.9
1,3,0,1,0,0.8,0.59,LOW,6.7,1.7
5,6,1,1,0,5.57,0.35,LOW,5.8,9.8
21,6,1,1,0,5.31,0.21,LOW,2.0,8.2
10,4,0,1,1,7.73,0.27,HIGH,16.0,26.7
15,0,0,1,1,7.75,0.4,HIGH,19.4,24.2
15,0,0,1,1,3.33,0.33,HIGH,15.3,8.3
0,4,0,0,0,4.92,0.36,LOW,5.5,8.8
8,4,0,1,1,1.56,0.47,HIGH,18.2,4.6
5,3,0,1,0,1.0,0.26,LOW,5.0,1.1
15,4,0,1,1,3.75,0.23,HIGH,11.5,9.5
2,1,0,1,0,5.67,0.44,LOW,8.7,9.3
19,0,0,1,1,4.76,0.13,MEDIUM,13.9,12.2
3,0,0,0,0,3.72,0.19,LOW,6.9,4.9
18,5,1,1,1,6.64,0.27,LOW,14.7,21.2
2,4,0,1,0,6.46,0.56,MEDIUM,7.2,12.1
18,2,0,1,1,5.99,0.17,HIGH,15.2,17.1
19,2,0,1,1,1.08,0.46,MEDIUM,16.1,3.9
6,4,0,1,0,6.47,0.43,LOW,10.9,11.3
19,1,0,1,1,7.4,0.17,HIGH,15.5,18.4
8,2,0,1,1,0.95,0.31,HIGH,14.0,4.0
0,5,1,1,0,3.51,0.39,LOW,8.2,6.9
7,6,1,0,1,7.91,0.38,HIGH,15.0,19.1
6,4,0,1,0,4.99,0.33,LOW,8.1,9.0
17,1,0,1,1,4.35,0.31,HIGH,14.2,11.2
7,1,0,1,1,1.83,0.11,MEDIUM,13.8,4.2
0,3,0,1,0,4.74,0.18,LOW,4.8,9.9
10,1,0,1,1,3.79,0.52,HIGH,17.4,10.9
17,2,0,1,1,1.46,0.34,MEDIUM,15.9,4.1
22,6,1,1,0,3.98,0.29,LOW,6.1,5.3
9,2,0,1,1,1.73,0.24,HIGH,14.0,5.1
2,4,0,1,0,5.98,0.41,LOW,3.1,10.2
6,6,1,1,0,7.8,0.39,LOW,5.9,12.7
15,4,0,1,1,4.02,0.72,HIGH,17.4,16.9
15,1,0,0,1,5.24,0.35,HIGH,12.2,12.5
19,5,1,0,1,3.73,0.16,MEDIUM,12.4,8.1
16,0,0,1,1,1.54,0.17,HIGH,14.7,2.7
1,6,1,1,0,7.78,0.14,LOW,2.1,14.2
0,3,0,0,0,1.47,0.38,LOW,7.9,2.2
15,0,0,1,1,1.34,0.47,HIGH,17.4,3.4
11,1,0,1,0,3.94,0.08,LOW,4.8,6.2
4,1,0,0,0,5.44,0.4,LOW,4.3,7.5
4,0,0,1,0,3.16,0.22,LOW,4.0,5.7
22,3,0,0,0,1.94,0.39,LOW,5.8,3.9
8,6,1,0,1,6.64,0.25,HIGH,12.5,18.0
8,6,1,1,1,3.22,0.12,MEDIUM,16.2,5.7
2,0,0,0,0,1.96,0.48,LOW,10.2,0.7
18,4,0,1,1,3.24,0.4,MEDIUM,19.3,7.4
15,2,0,1,1,2.11,0.47,HIGH,19.0,8.6
15,5,1,0,1,4.4,0.08,HIGH,13.7,11.6
2,4,0,1,0,5.51,0.39,LOW,4.5,7.2
19,6,1,0,1,6.5,0.28,MEDIUM,16.0,13.1
23,2,0,0,0,2.21,0.29,LOW,1.8,1.6
21,5,1,0,0,1.75,0.32,LOW,6.0,2.4
23,5,1,0,0,0.65,0.15,LOW,6.6,0.6
0,5,1,1,0,2.21,0.36,LOW,2.4,2.8
23,1,0,1,0,0.68,0.27,MEDIUM,4.8,0.6
19,5,1,0,1,3.09,0.27,MEDIUM,11.5,7.2
10,3,0,1,1,1.59,0.14,HIGH,13.2,4.1
16,0,0,1,1,4.85,0.06,HIGH,15.8,10.2
7,6,1,1,1,3.38,0.13,HIGH,15.1,9.3
3,3,0,0,0,1.2,0.32,LOW,7.2,0.8
5,0,0,0,0,3.5,0.03,LOW,3.1,3.8
7,4,0,1,1,2.07,0.35,HIGH,14.9,6.9
19,4,0,1,1,5.6,0.44,HIGH,17.3,15.3
2,0,0,1,0,3.23,0.27,LOW,3.7,5.7
15,3,0,1,1,1.6,0.06,HIGH,18.3,2.2
2,0,0,1,0,3.12,0.23,LOW,5.1,4.3
17,5,1,1,1,2.18,0.52,HIGH,18.2,10.0
13,1,0,1,0,6.47,0.34,LOW,8.9,11.8
17,6,1,1,1,7.88,0.14,MEDIUM,16.5,20.5
1,4,0,1,0,0.69,0.08,LOW,2.7,0.9
21,6,1,1,0,5.68,0.25,LOW,3.9,9.7
2,1,0,0,0,2.48,0.07,LOW,4.5,2.0
15,5,1,1,1,1.0,0.19,HIGH,14.7,1.5
8,5,1,1,1,0.61,0.29,HIGH,22.9,1.4
3,4,0,1,0,7.11,0.41,LOW,6.0,13.0
0,4,0,1,0,3.15,0.19,LOW,4.5,5.1
3,5,1,1,0,7.96,0.36,LOW,1.5,13.4
0,2,0,1,0,3.82,0.3,LOW,0.3,7.3
13,6,1,1,0,1.91,0.37,LOW,4.0,3.5
20,1,0,1,0,6.33,0.13,LOW,2.7,11.3
15,6,1,0,1,7.45,0.54,HIGH,12.8,20.8
19,1,0,1,1,6.62,0.31,MEDIUM,16.5,15.7
23,2,0,1,0,6.09,0.17,LOW,0.1,9.5
7,3,0,0,1,3.01,0.35,HIGH,14.3,6.3
6,1,0,1,0,0.98,0.36,MEDIUM,5.1,2.1
2,6,1,0,0,2.01,0.46,LOW,6.7,2.8
16,0,0,0,1,3.85,0.34,HIGH,13.6,11.1
0,5,1,1,0,7.67,0.45,LOW,4.1,11.2
15,5,1,0,1,5.92,0.47,HIGH,14.6,14.4
11,2,0,0,0,6.71,0.46,LOW,8.5,10.0
18,1,0,0,1,2.58,0.34,HIGH,11.6,4.2
21,3,0,1,0,5.63,0.46,LOW,7.8,8.2
22,1,0,1,0,6.97,0.28,LOW,7.2,10.7
21,5,1,0,0,4.1,0.46,LOW,6.0,6.1
13,4,0,1,0,3.72,0.25,LOW,4.2,7.4
5,0,0,1,0,5.9,0.3,MEDIUM,4.3,10.1
5,2,0,1,0,4.7,0.23,LOW,4.6,8.3
12,4,0,1,0,7.95,0.43,LOW,10.2,12.4
18,6,1,1,1,3.69,0.24,MEDIUM,15.1,10.0
21,3,0,0,0,1.82,0.13,LOW,4.8,2.6
7,4,0,0,1,4.04,0.49,MEDIUM,14.7,8.5
1,6,1,1,0,2.26,0.17,LOW,6.1,5.0
20,4,0,0,0,4.71,0.34,LOW,4.9,6.0
0,3,0,0,0,1.44,0.33,LOW,5.7,2.1
14,4,0,1,1,7.62,0.32,HIGH,15.3,20.7
0,2,0,1,0,6.95,0.18,LOW,2.9,12.4
4,5,1,0,0,1.67,0.18,LOW,3.9,2.9
15,1,0,1,1,1.79,0.52,HIGH,14.9,5.1
18,4,0,0,1,4.34,0.22,HIGH,11.5,10.0
3,2,0,0,0,6.3,0.24,LOW,5.3,8.3
2,1,0,1,0,2.14,0.19,LOW,6.5,4.1
16,6,1,1,1,0.96,0.33,MEDIUM,15.9,2.1
16,1,0,1,1,4.59,0.33,HIGH,16.8,15.6
11,6,1,1,0,5.69,0.17,LOW,4.1,8.8
13,4,0,1,0,2.33,0.28,LOW,3.6,3.5
20,2,0,0,0,6.05,0.86,LOW,7.5,8.8
5,5,1,1,0,7.63,0.52,LOW,7.7,14.0
2,4,0,0,0,1.53,0.37,LOW,9.7,4.4
8,6,1,1,1,4.33,0.37,HIGH,17.8,10.5
4,3,0,0,0,0.93,0.03,LOW,5.3,0.6
23,1,0,1,0,2.05,0.74,LOW,4.7,2.9
16,4,0,0,1,1.17,0.39,MEDIUM,14.0,3.8
13,6,1,0,0,3.53,0.62,LOW,9.8,4.4
20,1,0,1,0,6.66,0.56,LOW,8.5,13.4
2,6,1,0,0,4.83,0.35,LOW,4.7,7.2
0,2,0,1,0,2.17,0.03,LOW,5.1,4.5
19,0,0,1,1,0.8,0.34,HIGH,17.7,1.7
20,4,0,1,0,4.65,0.28,LOW,1.9,6.4
22,5,1,0,0,1.5,0.34,LOW,3.4,0.8
0,4,0,1,0,3.07,0.29,MEDIUM,6.2,6.2
2,1,0,1,0,4.33,0.21,LOW,3.8,5.8
17,2,0,0,1,7.28,0.53,MEDIUM,11.2,20.2
9,6,1,0,1,1.11,0.27,HIGH,13.1,1.2
21,3,0,1,0,5.51,0.27,MEDIUM,3.4,9.9
2,5,1,1,0,0.61,0.59,LOW,1.1,2.5
7,2,0,1,1,5.22,0.07,HIGH,15.2,14.1
13,4,0,0,0,4.64,0.14,LOW,0.3,5.9
23,3,0,0,0,6.59,0.17,LOW,3.9,11.5
17,2,0,1,1,4.49,0.37,HIGH,17.0,13.7
14,0,0,1,1,3.14,0.64,HIGH,23.5,17.1
21,5,1,1,0,2.32,0.36,LOW,6.3,3.9
22,1,0,0,0,1.14,0.18,LOW,4.7,1.1
1,2,0,1,0,4.51,0.26,LOW,7.1,9.0
9,2,0,1,1,7.16,0.19,HIGH,15.3,15.9
1,0,0,1,0,4.36,0.1,LOW,2.8,6.2
16,4,0,1,1,6.04,0.23,MEDIUM,14.9,15.4
7,6,1,1,1,2.74,0.12,MEDIUM,18.0,5.6
0,6,1,1,0,3.86,0.37,LOW,5.6,5.6
8,5,1,0,1,2.93,0.13,MEDIUM,10.5,5.9
10,5,1,1,1,1.32,0.07,HIGH,17.0,3.6
21,1,0,1,0,3.63,0.28,MEDIUM,2.3,6.3
15,2,0,0,1,6.23,0.26,MEDIUM,10.9,12.4
6,3,0,1,0,3.46,0.2,LOW,3.6,5.8
9,2,0,1,1,5.38,0.25,HIGH,16.7,15.5
22,6,1,1,0,6.19,0.18,LOW,4.7,10.2
2,1,0,0,0,2.92,0.47,LOW,5.4,6.0
17,2,0,1,1,6.48,0.23,MEDIUM,16.9,17.8
23,0,0,0,0,3.04,0.21,LOW,5.8,5.2
12,6,1,1,0,2.42,0.04,LOW,6.3,3.5
6,2,0,1,0,2.17,0.05,LOW,3.4,3.6
3,2,0,0,0,2.0,0.15,LOW,7.3,2.3
12,6,1,0,0,6.03,0.48,LOW,6.1,10.6
19,3,0,1,1,7.16,0.31,HIGH,16.3,19.2
0,6,1,0,0,2.23,0.51,LOW,5.0,1.6
7,0,0,1,1,1.14,0.13,HIGH,13.2,2.6
13,0,0,1,0,2.85,0.17,LOW,3.1,3.2
15,2,0,1,1,5.43,0.15,HIGH,17.4,17.6
13,5,1,1,0,3.26,0.32,LOW,3.4,6.9
11,3,0,1,0,4.62,0.52,MEDIUM,4.5,6.3
18,2,0,1,1,6.08,0.4,MEDIUM,16.4,16.5
22,6,1,1,0,3.56,0.33,LOW,6.2,7.3
14,2,0,1,1,8.0,0.31,HIGH,15.6,23.7
1,1,0,0,0,2.73,0.17,LOW,0.1,3.4
1,1,0,0,0,7.84,0.3,LOW,1.3,9.9
22,5,1,0,0,2.02,0.26,LOW,2.8,0.9
21,3,0,1,0,1.33,0.36,LOW,5.3,3.0
18,4,0,1,1,6.13,0.2,HIGH,15.6,17.4
21,1,0,0,0,5.77,0.24,LOW,4.2,7.8
21,4,0,0,0,6.58,0.39,LOW,8.0,8.8
16,0,0,1,1,3.08,0.25,HIGH,20.0,9.0
19,1,0,0,1,7.48,0.26,HIGH,10.4,13.4
9,1,0,0,1,1.4,0.53,MEDIUM,11.6,2.7
5,3,0,0,0,0.73,0.44,LOW,7.8,1.8
14,5,1,1,1,2.75,0.02,HIGH,15.3,8.8
21,4,0,1,0,6.48,0.2,LOW,4.3,12.9
10,6,1,1,1,5.55,0.16,MEDIUM,14.0,19.3
4,1,0,1,0,3.77,0.37,LOW,2.6,6.8
0,1,0,1,0,2.42,0.08,LOW,0.0,2.2
7,3,0,1,1,0.94,0.14,HIGH,16.1,1.8
20,3,0,0,0,3.03,0.12,LOW,5.5,6.1
11,5,1,1,0,3.95,0.24,LOW,5.6,6.4
11,4,0,1,0,5.65,0.34,LOW,5.5,12.1
4,0,0,1,0,5.34,0.26,LOW,2.6,9.9
6,6,1,1,0,7.61,0.34,LOW,2.3,15.6
3,5,1,0,0,1.25,0.38,LOW,6.6,0.5
5,0,0,1,0,3.02,0.12,LOW,1.3,4.9
12,2,0,0,0,4.11,0.19,LOW,2.5,6.6
19,1,0,1,1,5.53,0.45,HIGH,16.1,13.9
14,4,0,1,1,4.22,0.13,HIGH,15.8,13.9
2,5,1,0,0,7.35,0.43,LOW,5.6,12.0
22,1,0,1,0,5.07,0.06,LOW,5.0,8.0
7,4,0,1,1,0.8,0.51,HIGH,18.1,2.2
19,4,0,1,1,1.35,0.35,HIGH,16.9,2.6
15,4,0,1,1,6.15,0.3,HIGH,19.1,17.0
12,1,0,1,0,5.87,0.22,LOW,3.0,10.1
17,5,1,0,1,1.65,0.04,MEDIUM,11.3,3.0
9,6,1,1,1,0.94,0.08,HIGH,13.4,3.2
18,3,0,0,1,4.84,0.32,MEDIUM,13.2,8.9
16,1,0,1,1,5.27,0.2,HIGH,17.8,13.5
23,4,0,1,0,1.51,0.11,LOW,2.4,2.6
18,5,1,1,1,4.05,0.27,HIGH,20.0,11.4
22,6,1,1,0,2.79,0.52,LOW,6.2,2.1
4,2,0,1,0,7.48,0.35,LOW,6.2,12.3
20,0,0,1,0,2.14,0.11,LOW,0.6,3.3
22,4,0,1,0,6.0,0.31,LOW,7.7,11.0
8,2,0,0,1,4.39,0.45,MEDIUM,15.9,9.7
11,3,0,1,0,0.59,0.39,LOW,1.4,0.5
20,6,1,0,0,4.38,0.17,LOW,1.2,4.5
0,6,1,1,0,1.25,0.33,LOW,6.6,3.9
0,4,0,1,0,5.44,0.47,LOW,7.7,8.0
14,6,1,1,1,4.74,0.3,MEDIUM,13.1,13.6
1,2,0,1,0,0.58,0.18,LOW,5.5,0.6
21,4,0,0,0,2.04,0.31,LOW,3.5,3.5
